,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,https://www.efas.eu/en/news/storms-and-flash-floods-europe-june-2018
1,2,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,https://www.nytimes.com/2018/01/26/world/europe/france-paris-floods.html
2,3,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,https://medium.com/social-innovation-japan/japan-floods-2018-how-to-help-4b01515d1db3
3,4,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://www.cbsnews.com/news/hiroshima-japan-floods-today-death-toll-climbs-2018-07-09/
4,5,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,https://www.wbur.org/hereandnow/2018/07/13/disaster-stories-thai-cave-japan-flooding
5,6,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,https://www.theatlantic.com/photo/2018/07/photos-death-toll-reaches-200-in-devastating-japan-floods/565055/
6,7,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,https://www.theatlantic.com/photo/2018/07/photos-death-toll-reaches-200-in-devastating-japan-floods/565055/
7,8,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,https://www.independent.co.uk/news/world/asia/kerala-floods-india-death-rains-monsoon-rains-landslides-bridge-collapse-kochi-a8493796.html
8,9,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,https://www.independent.co.uk/news/world/asia/kerala-floods-india-death-rains-monsoon-rains-landslides-bridge-collapse-kochi-a8493796.html
9,10,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,https://www.independent.co.uk/news/world/asia/kerala-floods-india-death-rains-monsoon-rains-landslides-bridge-collapse-kochi-a8493796.html
