,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,Kansas Flood - Photo 2 (cbsnews.com)
1,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Kansas Flood - Photo 13 (cbsnews.com)
2,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Kansas Flood - Photo 13 (cbsnews.com)
3,4,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,Kansas Flood - Photo 13 (cbsnews.com)
4,5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,Kansas Flood - Photo 13 (cbsnews.com)
5,6,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,https://www.cbsnews.com/news/deadly-storms-sweep-midwest/
6,7,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,https://youtu.be/4XcCcy-sLYA
7,8,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,https://youtu.be/jfZFwPhVv6M
8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
