,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,https://www.weather.gov/cle/event_2006flashfloods
1,2,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,https://www.weather.gov/cle/event_2006flashfloods
2,3,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,https://en.wikipedia.org/wiki/2006_New_England_flood#/media/File:TurkeyRiverIronWorksRd2006.jpg
3,4,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,https://www.lcsun-news.com/picture-gallery/news/local/new-mexico/2016/08/15/10-years-a-look-back-at-the-2006-hatch-nm-flood/88807198/
4,5,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,http://www.baps.org/photos/2006/Cleaning-Work-Surat22-Aug-2006-2586.aspx?mid=4493
5,6,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,https://contohsuratmenyuratku.blogspot.com/2019/10/surat-flood-2006-image.html
6,7,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,http://www.pushtikul.com/surat/
7,8,1.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,https://www.pinterest.com/pin/478929741599324976/
8,9,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,https://contohsuratmenyuratku.blogspot.com/2019/10/surat-flood-2006-image.html
9,10,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,https://flickr.com/photos/upasana/326713948/in/photostream/
