,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
1,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
2,3,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
3,4,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
4,5,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
5,6,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,https://minnesota.publicradio.org/features/2013/06/duluth-flood-before-after-gallery/
6,7,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,https://www.cbc.ca/news/world/beijing-residents-compile-own-death-toll-in-flooding-1.1142065
7,8,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html
8,9,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html
9,10,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,https://edition.cnn.com/2012/07/26/world/asia/china-beijing-flood/index.html
