,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,https://www.mprnews.org/story/2019/03/24/midwest-flood-risk-may-persist-for-months
1,2,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,https://www.nytimes.com/2019/05/24/us/midwest-river-flooding.html
2,3,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://www.reuters.com/article/us-usa-weather-iowa/u-s-disaster-aid-wont-cover-crops-drowned-by-midwest-floods-idUSKCN1RE0BU
3,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,U.S. disaster aid won't cover crops drowned by Midwest floods | Reuters
4,5,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,https://youtu.be/pLoNA4JU8QQ
5,6,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,https://youtu.be/pLoNA4JU8QQ
6,7,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,At least three dead after devastating floods across US Midwest (trtworld.com)
7,8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,At least three dead after devastating floods across US Midwest (trtworld.com)
8,9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"NY National Guard responds to major flooding, wind damage in Mohawk Valley | Article | The United States Army"
9,10,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"NY National Guard responds to major flooding, wind damage in Mohawk Valley | Article | The United States Army"
