,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,Brazil Floods - Photo 4 (cbsnews.com)
1,2,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,Brazil Floods - Photo 4 (cbsnews.com)
2,3,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,https://edition.cnn.com/2010/WORLD/americas/06/24/brazil.floods/index.html
3,4,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,Hundreds killed in Brazilian floods | Stuff.co.nz
4,5,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,More than 600 still missing in Brazilian floods - CNN.com
5,6,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,File:2010 Madeira floods and mudslides 21.jpg - Wikimedia Commons
6,7,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,https://www.madeiraislanddirect.com/blog/2010/02/madeira-flood-photo-special-february-2010/
7,8,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,DSC04050.jpg (320×480) (madeiraislanddirect.com)
8,9,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,Madeira flood - photo special - February 2010 • The Original Madeira Island News Blog (madeiraislanddirect.com)
9,10,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,DSC00376.jpg (640×480) (madeiraislanddirect.com)
