,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,https://strangesounds.org/2021/07/extraordinary-rainfall-henan-province-china-video-pictures.html
1,2,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,https://leedrut1957.blogspot.com/2021/07/henan-flood-2021-china-floods-12-dead.html
2,3,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,https://en.wikipedia.org/wiki/2021_Henan_floods#/media/File:Damaged_Songshan_Road_in_Zhengzhou_after_Floods.jpg
3,4,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,"China's flood-hit Henan to get nearly $300 mln in emergency aid, donations | Reuters"
4,5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,https://www.rfa.org/english/news/china/henan-floods-07212021080107.html
5,6,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,https://marcelobellinger.blogspot.com/2021/07/henan-flood-china-raises-flood-alert.html
6,7,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,Flooding in Central China Displaces 1.2 Million (freerepublic.com)
7,8,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,https://raeannwarfield.blogspot.com/2021/07/henan-flood-2021-uqx2myrqsoq9-m-deadly.html
8,9,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,https://unlimitnews.com/flash-floods/
9,10,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,https://indianexpress.com/photos/world-news/china-floods-picture-gallery-7416696/
10,11,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,https://www.dw.com/en/european-floods-belgium-warns-against-travel-as-death-toll-climbs/a-58288191
11,12,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,European floods: Belgium warns against travel as death toll climbs | News | DW | 16.07.2021
12,13,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,"Heavy flooding prompts chaos in Germany, other parts of Europe | Daily Sabah"
13,14,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,"Help sent to Germany as over 50 dead, dozens missing in severe European floods | The Times of Israel"
14,15,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,https://www.archyde.com/germany-floods-2021-climate-change-europe-flood-two-months-of-rain-when-two-days-of-rain-europe-floods-in-germany-and-belgium-2021-explained/
15,16,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,https://www.nytimes.com/2021/07/16/world/europe/germany-flood-damage-musch.html
16,17,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,https://jangkrikkelana.blogspot.com/2021/07/germany-floods-2021-map-german-vista.html
17,18,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,Rescuers rush to help as Europe's flood toll surpasses 125 - World - DAWN.COM
18,19,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Death toll rises to 183 in Germany and Belgium floods | Weather News | Al Jazeera
19,20,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,http://enfransmedia.com/flood-in-europe-germany-belgium-homes-collapse-37-people-dead-and-70-missing-after-heavy-rain-fall/
