,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,https://www.npr.org/sections/thetwo-way/2017/08/29/547078456/floods-in-south-asia-have-killed-more-than-1-000-people-this-summer?t=1654858030228
1,2,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://edition.cnn.com/2017/08/22/asia/south-asia-flooding/index.html
2,3,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,https://www.news.com.au/world/asia/south-asia-faces-severe-flooding-and-transport-chaos/news-story/ea29ce67ba87e0470bcce139b4236ded
3,4,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,https://youtu.be/WQcdB_Rzlyg
4,5,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://youtu.be/ZEWtX1_4t0M
5,6,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,https://www.climatesignals.org/events/china-floods-june-july-2016
6,7,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,https://news.sky.com/story/flooding-kills-nearly-700-across-south-asia-10998893
7,8,,,,,,,,,,,,,,,,,,,,,1.0,,,,,https://youtu.be/c62GPWlJisg
8,9,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,https://youtu.be/fqWTbFbsPdk
9,10,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,https://www.youtube.com/watch?v=A9VaBnBVRg0
