,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,http://darkroom.baltimoresun.com/2016/03/heavy-storms-flood-louisiana/#1
1,2,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,https://www.latimes.com/nation/la-na-louisiana-flooding-20160816-snap-story.html
2,3,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,https://www.youtube.com/watch?v=dbNrCpvEmmg
3,4,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,https://www.youtube.com/watch?v=dbNrCpvEmmg
4,5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,The Great Louisiana Flood 2016 - YouTube
5,6,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,The Great Louisiana Flood 2016 - YouTube
6,7,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,The Great Louisiana Flood 2016 - YouTube
7,8,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,The Great Louisiana Flood 2016 - YouTube
8,9,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,The Great Louisiana Flood 2016 - YouTube
9,10,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,The Great Louisiana Flood 2016 - YouTube
10,11,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,Shocking Pictures of the Floods in Europe (businessinsider.com)
11,12,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,Shocking Pictures of the Floods in Europe (businessinsider.com)
12,13,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,Shocking Pictures of the Floods in Europe (businessinsider.com)
13,14,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,Shocking Pictures of the Floods in Europe (businessinsider.com)
14,15,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,Shocking Pictures of the Floods in Europe (businessinsider.com)
15,16,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,Shocking Pictures of the Floods in Europe (businessinsider.com)
16,17,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,Shocking Pictures of the Floods in Europe (businessinsider.com)
17,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nbcnews.com/slideshow/fatal-floods-wreak-havoc-germany-france-n584791
18,19,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,https://www.nbcnews.com/slideshow/fatal-floods-wreak-havoc-germany-france-n584791
19,20,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,https://www.euractiv.com/section/climate-environment/news/deaths-reported-as-flash-floods-hit-france-germany-and-austria/
