,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,https://www.bing.com/images/search?view=detailV2&ccid=ZF4YNV%2bL&id=9CEBDEB48A0881AE4419482ECF95FA6A36B7B4BE&thid=OIP.ZF4YNV-L5uQtGAkYSJoUvwHaE7&mediaurl=https%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2fthumb%2f3%2f3a%2fFlooding_in_the_US_Midwest_June_2008.jpg%2f1024px-Flooding_in_the_US_Midwest_June_2008.jpg&cdnurl=https%3a%2f%2fth.bing.com%2fth%2fid%2fR.645e18355f8be6e42d180918489a14bf%3frik%3dvrS3Nmr6lc8uSA%26pid%3dImgRaw%26r%3d0&exph=681&expw=1024&q=floods+midwest+usa+2008&simid=608055541401280893&FORM=IRPRST&ck=BCF4FF8F517D4F14726EAA1C5EDDA698&selectedIndex=3
1,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,http://archive.boston.com/bostonglobe/photos/FloodshittheMidwest/
2,3,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,http://archive.boston.com/bostonglobe/photos/FloodshittheMidwest?pg=3
3,4,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,https://www.cbsnews.com/pictures/deadly-midwest-floods/3/
4,5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,https://www.cbsnews.com/pictures/deadly-midwest-floods/7/
5,6,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,https://nca2009.globalchange.gov/transportation-cedar-rapids-flood-2008/index.html
6,7,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,https://pantagraph.com/news/midwest-flood-damage-june-2008/collection_e0a99d8e-49d8-5e55-944d-226256a1cb19.html
7,8,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,https://www.cnn.com/2013/04/24/us/flooding/
8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
