,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,https://www.bangkokpost.com/world/645144/aid-pledged-for-myanmar-as-flood-death-toll-hits-69
1,2,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,https://unicefmyanmar.blogspot.com/2015/08/photos-myanmar-flood.html
2,3,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://unicefmyanmar.blogspot.com/2015/08/photos-myanmar-flood.html
3,4,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,https://graceroadmission.wordpress.com/2015/08/03/un-warns-myanmar-flood-toll-to-rise-as-rains-lash-region/
4,5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,https://www.youtube.com/watch?v=vL8wkbb8rU0
5,6,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,https://www.dailyrecord.co.uk/news/uk-world-news/gallery/flooding-uk-december-26-2015-7076644
6,7,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,http://www.huffingtonpost.co.uk/2015/12/26/manchester-flooding-damage-drone-footage-pub-washed-away-water_n_8879380.html
7,8,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,https://www.dailymail.co.uk/news/article-3352263/UK-weather-Britain-hit-24-hours-rain-70mph-winds-aftermath-Storm-Desmond.html
8,9,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,http://www.cnn.com/2015/12/03/asia/india-floods-chennai/index.html
9,10,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,http://www.cnn.com/2015/12/03/asia/india-floods-chennai/index.html
