,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/
1,2,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/
2,3,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/
3,4,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/
4,5,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,https://eu.usatoday.com/picture-gallery/news/world/2014/12/29/flooding-in-malaysia/21001785/
5,6,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,https://ticotimes.net/2014/06/04/concert-tonight-to-raise-money-for-balkan-flood-victims
6,7,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,https://abcnews.go.com/International/photos/balkans-flood-rivers-overflow-23753941/image-23754391
7,8,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,http://abcnews.go.com/International/photos/balkans-flood-rivers-overflow-23753941/image-23754289
8,9,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,http://archive.boston.com/bigpicture/2014/05/balkans_flooding.html
9,10,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,http://archive.boston.com/bigpicture/2014/05/balkans_flooding.html
