,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,https://www.theatlantic.com/photo/2011/10/worst-flooding-in-decades-swamps-thailand/100168/
1,2,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,https://www.theatlantic.com/photo/2011/10/worst-flooding-in-decades-swamps-thailand/100168/
2,3,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html
3,4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html
4,5,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html
5,6,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-3.html
6,7,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-2.html
7,8,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,https://teakdoor.com/thailand-and-asia-news/97321-thailand-2011-floods-photo-series-2.html
8,9,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,http://newsphotogallary.blogspot.com/2011/10/thailand-flood-october-2011.html
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
