,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,,,,,,,,1.0,,,,1,,,,,1.0,,,,1.0,,1.0,,http://www.independent.co.uk/news/uk/home-news/boscastle-flood-of-2004-the-tenth-anniversary-of-freak-weather-striking-a-cornish-town-9673334.html
1,2,,,,,,,,,,,,,1,,,,,,,,1.0,,,1.0,,http://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
2,3,1.0,,,,,,,,,,,,1,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,https://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
3,4,1.0,,,,,,,,,,,,1,,1.0,,,1.0,,,1.0,,,1.0,,https://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
4,5,,,,,,,,,,,,,1,,1.0,,,,,,1.0,1.0,,1.0,,https://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
5,6,1.0,,,,,,,,,,,,1,,,,1.0,,,,,,,,,https://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
6,7,,,,,,,,,,,,,1,,,,,,,,1.0,,,,,https://www.dailymail.co.uk/news/article-2724164/Ten-years-devastation-How-pretty-Cornish-village-Boscastle-ravaged-floods-2004-slowly-recovered.html
7,8,1.0,,,,,,,,,,,,1,,1.0,,,,,,1.0,1.0,,1.0,,http://www.bbc.co.uk/cornwall/content/image_galleries/boscastlefloods2004_gallery.shtml?15
8,9,,,,,,,,,,,,,1,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,http://www.bbc.co.uk/cornwall/content/image_galleries/places_boscastledisaster_gallery.shtml?23
9,10,1.0,,,,,,,,,,,,1,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,http://www.bbc.co.uk/cornwall/content/image_galleries/places_boscastledisaster_gallery.shtml?23
