,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,Sudan flood death toll rises to 89 | Dhaka Tribune
1,2,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Sudan floods: More than 100 dead, 500,000 homeless in worst flooding in 100 years - The Washington Post"
2,3,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Sudan floods: More than 100 dead, 500,000 homeless in worst flooding in 100 years - The Washington Post"
3,4,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,UN: More than half a million people affected by Sudan floods – Middle East Monitor
4,5,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,"Floods-hit Sudan facing ‘unprecedented challenges’, UN warns | News | Al Jazeera"
5,6,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Jakarta flood 2020 sees Indonesia capital inundated after record rainfall causing dozens of deaths and search for missing today - CBS News
6,7,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,Jakarta flood 2020 sees Indonesia capital inundated after record rainfall causing dozens of deaths and search for missing today - CBS News
7,8,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,"Flash flood kills 16 in Indonesia, 23 still missing (dailypioneer.com)"
8,9,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,Death toll in Indonesia flash flood rises to 21; 2 missing (yahoo.com)
9,10,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,Death toll in Indonesia flash flood rises to 21; 2 missing (yahoo.com)
