name,group,typology,Lx,Ly,Lz,zc,m,V,rho,Axy,source
Metal garden shed,F2,household equipment,3.40,3.19,2.10,0.00,80,22.78,3.5,10.85,https://www.mi-caseta-de-jardin.es/casetas-de-jardin-de-metal/9966-caseta-de-jardin-antracita-first-1085m-first-antracita-kit-de-anclaje-x-metal-3336363099663.html?gclid=CjwKCAjwp9qZBhBkEiwAsYFsbzO0BTORnzJq22CZpGyifeq5XJCJzIkaNhijRizcTBXeSd78HLA1kBoC4v8QAvD_BwE
Metal garden shed,F2,household equipment,2.39,1.93,2.03,0.00,54,9.36,5.8,4.61,https://www.bauhaus.es/casetas-de-herramientas-metalicas/hoggar-caseta-para-jardin-gansen-ii/p/26603937?cid=SSAGoo16511208432_&pla_campid=16511208432&pla_adgrid=&pla_prpaid=&pla_prid=26603937&pla_adt=pla&pla_prch=online&pla_stco=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb35uN40v0MotwumUGE-ekPRFDb6iNx6LjcF961CsGYuRI5KbfrkkUhoCCT0QAvD_BwE
Plastic garden shed,F2,household equipment,2.27,1.85,2.37,0.00,72,9.95,7.2,4.20,https://www.leroymerlin.es/fp/82836070/caseta-de-resina-manor-6x8-de-185-8x227x237-cm-y-3-9-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb7pg-ffWWrLHMeAVuFV-Sk3vld6Jn72tPoFZdK_GLDh41NIZkd_zMxoCXI8QAvD_BwE&gclsrc=aw.ds
Plastic garden shed,F2,household equipment,2.08,1.78,1.96,0.00,77,7.26,10.6,3.70,https://www.leroymerlin.es/fp/16267342/caseta-de-resina-factor-de-178x208x196-cm-y-3-49-m2#fichaTecnica
Plastic garden shed,F2,household equipment,2.53,2.28,2.24,0.00,135,12.89,10.5,5.77,https://www.leroymerlin.es/fp/82143477/caseta-de-resina-newton-de-228x253-2x223-5-cm-y-4-54-m2
Plastic garden shed,F2,household equipment,2.52,2.29,2.23,0.00,127,12.87,9.9,5.77,https://www.leroymerlin.es/fp/82836065/caseta-de-resina-premier-757-de-229x252x223-cm-y-4-6-m2
Water tank polyethilene 1 m³ (with base),F2,household equipment,2.07,1.45,0.71,0.00,79,2.10,37.6,2.98,https://www.topalmacen.com/producto/cubeto-de-polietileno-1-grg-pibcd.html
Water tank polyethilene 1 m³ (with base),F2,household equipment,2.34,1.36,0.52,0.00,66,1.65,39.9,3.18,https://www.topalmacen.com/producto/cubeto-de-polietileno-sin-rejilla-pibc2ex.html
Water tank polyethilene 1 m³ (without base),F2,household equipment,1.20,1.00,1.12,0.00,56,1.34,42.1,1.20,https://www.auer-packaging.com/es/es/Contenedor-IBC-con-palet-de-pl%C3%A1stico/IBC-1000-K-150.50-UN.html?customer_type=private&gclid=CjwKCAjwp9qZBhBkEiwAsYFsbxm_uHe4hiqshBQ_4plmRLq7-4moYvoG21npDyasD4NT_G5R4PaE8RoCVAwQAvD_BwE
Water tank polyethilene 1 m³ (without base),F2,household equipment,1.20,1.00,1.12,0.00,53,1.34,39.9,1.20,https://www.auer-packaging.com/es/es/Contenedor-IBC-con-palet-de-pl%C3%A1stico/IBC-1000-K-150.50.html?customer_type=private&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb8R7KFShIbce9TCpSdus67RGbMD8i9Iss_RdrEYuWX55XMZ6gAoDdBoCcHwQAvD_BwE
