,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,https://www.theatlantic.com/technology/archive/2017/08/how-much-does-houston-spend-on-flood-control/538257/
1,2,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,https://www.cs.rice.edu/~dwallach/photo/allison2001/WhiteOakWarehouse.html
2,3,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,http://www.cs.rice.edu/~dwallach/photo/allison2001/I45-Detour.html
3,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,https://www.cs.rice.edu/~dwallach/photo/allison2001/I45-Submerged.html
4,5,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,https://www.cs.rice.edu/~dwallach/photo/allison2001/I45-Submerged2.html
5,6,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,https://www.cs.rice.edu/~dwallach/photo/allison2001/I45-Suburban.html
6,7,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,https://www.texasfreeway.com/houston/june-2001-flood-photos/
7,8,,,,1.0,,,,,,,,,,,,,,,,,,,,,,https://www.texasfreeway.com/houston/june-2001-flood-photos/
8,9,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,https://abc13.com/weather/tropical-storm-allison-disaster-began-17-years-ago-today/2075243/
9,10,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,https://www.texasfreeway.com/houston/june-2001-flood-photos/
