,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,"https://en.wikipedia.org/wiki/2002_European_floods#:~:text=In%20August%202002%2C%20a%20week%20of%20intense%20rainfall,and%20left%20%E2%82%AC27.7%20billion%20%28US%2427.115%20billion%29%20in%20damage."
1,2,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,https://www.loveexploring.com/gallerylist/90532/the-worlds-worst-floods
2,3,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,https://herijknaas.blogspot.com/2021/07/floods-in-germany-ox3dr9okyijfdm.html
3,4,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,http://www.thw-pirna.de/aktuelles/bildergalerien/bildergalerie-vom-hochwasser-2002-12-august-6-september-2002/
4,5,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,http://czechoslovakianlove.tumblr.com/post/27771339137/pragues-flood-2002
5,6,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,https://de.wikipedia.org/wiki/Hochwasser_in_Mitteleuropa_2002#/media/Datei:Schlottwitz_Hochwasser_113-1368_IMG.JPG
6,7,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,https://de.wikipedia.org/wiki/Hochwasser_in_Mitteleuropa_2002#/media/Datei:Schlottwitz_Hochwasser_2.JPG
7,8,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,http://forms2.rms.com/rs/729-DJX-565/images/fl_2002_central_europe_flooding.pdf
8,9,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,http://forms2.rms.com/rs/729-DJX-565/images/fl_2002_central_europe_flooding.pdf
9,10,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,http://www.wehrmut.de/!DATEN!/THW/hochwasser/hochwasser/page-0034.htm
